concept,component,best_val_loss,llm_score,llm_label,llm_prior_art,llm_reasoning,registry_score,registry_label,agreement
AdamW Beta1 Tuning,Optimizer,3.7121,1,KNOWN,"Kingma, D. P., & Ba, J. (2014). Adam: A method for stochastic optimization. arXiv preprint arXiv:1412.6980.",Tuning the beta1 parameter of AdamW is a standard hyperparameter optimization technique. The original Adam paper discusses the role of beta1 and beta2.,1,Known,True
AdamW Beta2 Tuning,Optimizer,3.6971,1,KNOWN,"Kingma, D. P., & Ba, J. (2014). Adam: A method for stochastic optimization. *arXiv preprint arXiv:1412.6980*.","Tuning the beta2 parameter of AdamW is a standard practice in optimizing deep learning models, including LLMs. The original Adam paper discusses the role of beta parameters.",1,Known,True
AdamW Betas Tuning,Optimizer,3.7236,1,KNOWN,"Kingma, D. P., & Ba, J. (2014). Adam: A method for stochastic optimization. arXiv preprint arXiv:1412.6980.","Using standard AdamW betas (0.9, 0.999) is a well-established practice in machine learning, as these are the default values proposed in the original Adam paper.",1,Known,True
AdamW Epsilon Tuning,Optimizer,3.8045,1,KNOWN,https://arxiv.org/abs/1711.05101,"Tuning the epsilon value in AdamW is a standard practice to improve numerical stability, especially when using lower precision floating-point formats like bfloat16. The original AdamW paper discusses the epsilon parameter.",1,Known,True
Add Learnable Scale To Rmsnorm,Normalization,3.6932,1,KNOWN,"Root Mean Square Layer Normalization, Zhang and Sennrich, 2019",Adding a learnable scale parameter to RMSNorm is part of the original RMSNorm paper and a standard practice. The proposed change is simply implementing the standard RMSNorm with the learnable scale.,1,Known,True
Amsgrad Optimizer,Optimizer,3.7736,1,KNOWN,"Reddi, S. J., Kale, S., & Kumar, S. (2019). On the convergence of adam and beyond. arXiv preprint arXiv:1904.09237.",AMSGrad is a well-known variant of the Adam optimizer designed to address convergence issues. The original paper introducing AMSGrad is readily available.,1,Known,True
Attention Dropout,Attention,3.7207,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)",Attention dropout is a standard regularization technique introduced in the original Transformer paper (Attention is All You Need). The proposed modification directly implements this technique within the scaled dot-product attention mechanism.,1,Known,True
Attention Logit Hard-Capping,Attention,3.8012,2,KNOWN-VARIANT,none,"Clipping attention logits is a known technique to improve training stability. The modification here is using a hard clamp instead of a tanh, which is a minor implementation detail.",2,Known-variant,True
Attention Logit Soft-Capping,Attention,3.7053,1,KNOWN,Gemma 2 technical report mentions using a similar technique to stabilize training.,"Applying a scaled tanh to the logits is a known technique for clipping and stabilizing training, as explicitly stated in the description and used in Gemma 2. This prevents excessively large logits.",1,Known,True
Batch Size Tuning,Init / Architecture,3.7113,1,KNOWN,Stochastic Gradient Descent literature,Reducing the batch size to increase the number of gradient updates within a fixed training budget is a fundamental concept in optimization and stochastic gradient descent. It's a standard hyperparameter tuning technique.,1,Known,True
Bias in QKV Projections,Attention,3.7219,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)","The original Transformer paper uses biases in the QKV projections. Disabling biases is a more recent trend for very large models, but enabling them is the default and well-established.",1,Known,True
Disable Gradient Clipping,Init / Architecture,3.7065,1,KNOWN,"Pascanu, Razvan, Tomas Mikolov, and Yoshua Bengio. ""On the difficulty of training recurrent neural networks."" International conference on machine learning. PMLR, 2013.","Disabling gradient clipping is a known technique, often used when training is stable or when computational cost is a primary concern. The original paper on the vanishing/exploding gradient problem discusses gradient clipping as a solution, implying that disabling it is a possible alternative.",2,Known-variant,False
Droppath,Normalization,3.7707,1,KNOWN,https://arxiv.org/abs/1605.07648,This is a direct application of DropPath (Stochastic Depth) as described in the original paper by Larsson et al. (2016).,1,Known,True
Elu Activation,MLP / Activation,3.9821,1,KNOWN,"Clevert, Djork-Arné, Thomas Unterthiner, and Sepp Hochreiter. ""Fast and accurate deep network learning by exponential linear units (ELUs)."" arXiv preprint arXiv:1511.07289 (2015).","ELU is a well-known activation function, and replacing GELU with ELU is a straightforward substitution that has been explored extensively in the literature.",1,Known,True
Embedding Dropout,Positional Encoding,3.7107,1,KNOWN,"Gal, Y., & Ghahramani, Z. (2016). A theoretically grounded application of dropout in recurrent neural networks. *Advances in neural information processing systems*, *29*.","Applying dropout to embeddings is a standard regularization technique. The cited paper discusses dropout in RNNs, but the general principle of applying dropout to embeddings for regularization is well-established.",1,Known,True
Embedding Normalization,Normalization,3.7392,1,KNOWN,"Layer Normalization (Ba, Kiros, Hinton, 2016) https://arxiv.org/abs/1607.06450","Applying Layer Normalization (or RMSNorm, which is a variant) to the embedding layer is a standard practice to stabilize training and improve performance. Layer Normalization was introduced in 2016 and has been widely adopted in various Transformer architectures.",1,Known,True
Embedding Scaling,Positional Encoding,3.7621,1,KNOWN,"Vaswani et al., 2017 (Attention Is All You Need)",Scaling the embeddings by sqrt(n_embd) before adding positional embeddings is a standard practice described in the original Transformer paper to maintain gradient variance.,1,Known,True
Enable Bias In Lm Head,Init / Architecture,3.7404,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)",Using a bias term in the final linear layer (lm_head) of a language model is standard practice and was present in the original Transformer architecture. Disabling the bias would be the unusual choice.,2,Known-variant,False
