concept,concept_key,count,component,novelty_score,novelty_label,paper,arxiv,year,note,best_val_loss
SwiGLU MLP,swiglu_mlp,7,MLP / Activation,1,Known,"Shazeer 2020, GLU Variants Improve Transformer",2002.05202,2020,"SiLU-gated linear unit; used in LLaMA, PaLM",3.7007
Fused AdamW,fused_adamw,6,Optimizer,1,Known,NVIDIA Apex / PyTorch fused optimizer implementation,,2019,Fused CUDA kernel for AdamW; systems optimization,3.7
Learnable RMSNorm,learnable_rmsnorm,5,Normalization,1,Known,"Zhang & Sennrich 2019, Root Mean Square Layer Normalization",1910.07467,2019,RMSNorm with learnable gain is the standard implementation,3.6976
QK-Norm,qk_norm,5,Normalization,1,Known,"Dehghani et al. 2023, Scaling ViT to 22B; Henry et al. 2020",2302.05442,2023,RMSNorm on Q and K before attention,3.7139
Zero-Init Projections,zero_init_projections,5,Init / Architecture,1,Known,"Radford et al. 2019, GPT-2 (scales output projections to 0)",,2019,Zero-init residual projections for stable training,3.7172
Rotary Positional Embeddings (RoPE),rope,4,Attention,1,Known,"Su et al. 2021, RoFormer: Enhanced Transformer with Rotary Position Embedding",2104.09864,2021,"Rotary position embeddings; standard in LLaMA, Mistral, etc.",3.69
Exclude from Weight Decay,exclude_from_weight_decay,4,Embedding,1,Known,Loshchilov & Hutter 2019; standard practice for norm/bias params,1711.05101,2019,Exclude normalization/bias parameters from weight decay,3.7008
Embedding Normalization,embedding_normalization,4,Normalization,1,Known,Various Transformer variants apply normalization to embeddings,,2020,LayerNorm/RMSNorm on embedding output,3.7392
AdamW Beta2 Tuning,adamw_beta2_tuning,3,Optimizer,1,Known,"Loshchilov & Hutter 2019, Decoupled Weight Decay (hyperparameter tuning)",1711.05101,2019,Standard hyperparameter tuning of beta2,3.6971
Vocabulary Padding (50304),vocab_padding,3,Embedding,1,Known,Standard GPU optimization (align vocab size to power of 2 or 64-multiple),,2020,Padding vocab from 50257 to 50304 for GPU alignment,3.6974
Output Logit Scaling,output_logit_scaling,3,Init / Architecture,1,Known,Related to muP (Yang et al. 2022); logit scaling for stable training,2203.03466,2022,Scaling output logits for training stability,3.7007
Attention Logit Soft-Capping,attention_logit_softcapping,3,Attention,1,Known,"Gemma 2 Team 2024, Gemma 2",2408.00118,2024,Tanh-based soft capping of attention logits,3.7053
AdamW Beta1 Tuning,adamw_beta1_tuning,3,Optimizer,1,Known,"Loshchilov & Hutter 2019, Decoupled Weight Decay (hyperparameter tuning)",1711.05101,2019,Standard hyperparameter tuning of beta1,3.7121
Sinusoidal Positional Embeddings,sinusoidal_positional,3,Positional Encoding,1,Known,"Vaswani et al. 2017, Attention Is All You Need",1706.03762,2017,Original sinusoidal positional encoding,4.2364
Reduced Weight Decay,reduced_weight_decay,2,Optimizer,1,Known,"Loshchilov & Hutter 2019, Decoupled Weight Decay (hyperparameter tuning)",1711.05101,2019,Reducing weight decay from default value,3.704
Batch Size Tuning,batch_size_tuning,2,Init / Architecture,1,Known,"Standard hyperparameter; Smith et al. 2018, Don't Decay the Learning Rate",1711.00489,2018,Adjusting batch size for training,3.7113
WSD Schedule,wsd_schedule,2,LR Schedule,1,Known,Warmup-Stable-Decay; used in Chinchilla (Hoffmann et al. 2022),2203.15556,2022,"Three-phase LR schedule: warmup, stable, decay",3.7122
Residual Scaling,residual_scaling,2,MLP / Activation,1,Known,"Various; T5 (Raffel et al. 2020), DeepNet (Wang et al. 2022)",2203.00555,2022,Scaling residual connections by 1/sqrt(N) or similar,3.7149
ReLU Activation,relu_activation,2,MLP / Activation,1,Known,"Nair & Hinton 2010, Rectified Linear Units",,2010,"Standard ReLU, the original deep learning activation",3.7297
Residual Dropout,residual_dropout,2,Normalization,1,Known,"Vaswani et al. 2017, Attention Is All You Need",1706.03762,2017,Dropout on residual connections; standard Transformer component,3.7424
Embedding Scaling,embedding_scaling,2,Positional Encoding,1,Known,Vaswani et al. 2017 scales embeddings by sqrt(d_model),1706.03762,2017,Scaling embedding vectors,3.7621
Parallel Blocks,parallel_blocks,2,Normalization,1,Known,"Wang & Komatsuzaki 2021, GPT-J-6B",,2021,Parallel attention and MLP sublayers,3.763
SiLU Activation,silu_activation,2,MLP / Activation,1,Known,Elfwing et al. 2018; Ramachandran et al. 2017 (Swish),1710.05941,2017,SiLU/Swish activation function,3.7749
Polynomial LR Decay,polynomial_lr_decay,1,LR Schedule,1,Known,Standard LR schedule; used in BERT (Devlin et al. 2019),1810.04805,2019,Polynomial learning rate decay schedule,3.6924
Add Learnable Scale To Rmsnorm,add learnable scale to rmsnorm,1,Normalization,1,Known,"Zhang & Sennrich 2019, RMSNorm (learnable gain is standard)",1910.07467,2019,Adding learnable scale to RMSNorm; this IS standard RMSNorm,3.6932
